time_ms,ne
-1.44474,-7917218777462491.0
-1.4429,-8051408926232851.0
-1.44106,-8185599075003214.0
-1.43922,-8319789223773574.0
-1.43738,-8453979372543938.0
-1.43554,-8588169521314299.0
-1.4337,-8856549818851298.0
-1.43186,-8990739967621658.0
-1.430012,-9124930116392020.0
-1.4281720000000002,-9259120265166106.0
-1.426332,-9393310413936468.0
-1.424492,-9527500562706828.0
-1.422652,-9661690711480914.0
-1.420812,-9795880860251276.0
-1.418972,-9930071009021636.0
-1.417132,-1.019845130656236e+16
-1.415292,-1.0466831604095634e+16
-1.413452,-1.0601021752869718e+16
-1.411604,-1.073521190164008e+16
-1.409764,-1.0869402050406716e+16
-1.407924,-1.1003592199180802e+16
-1.406084,-1.1137782347951164e+16
-1.404244,-1.1271972496721526e+16
-1.4024040000000002,-1.140616264549561e+16
-1.400564,-1.1674542943028884e+16
-1.398724,-1.1942923240565882e+16
-1.3968840000000002,-1.2077113389336244e+16
-1.395036,-1.2211303538106606e+16
-1.3931959999999999,-1.2345493686880692e+16
-1.391356,-1.2479683835651054e+16
-1.389516,-1.2613873984421414e+16
-1.387676,-1.288225428195841e+16
-1.385828,-1.3016444430728772e+16
-1.383988,-1.3150634579499134e+16
-1.382148,-1.3284824728269496e+16
-1.380308,-1.3419014877043582e+16
-1.378468,-1.3553205025813942e+16
-1.376628,-1.368739517458058e+16
-1.374788,-1.382158532335094e+16
-1.372948,-1.3955775472121302e+16
-1.371108,-1.4089965620895388e+16
-1.369268,-1.4089965620899112e+16
-1.36742,-1.4224155769669474e+16
-1.3655800000000002,-1.4358345918443558e+16
-1.36374,-1.4492536067210194e+16
-1.3619,-1.4626726215980556e+16
-1.3600600000000003,-1.489510651352128e+16
-1.35822,-1.5029296662291642e+16
-1.35638,-1.5163486811069452e+16
-1.35454,-1.5297676959839814e+16
-1.352692,-1.543186710860645e+16
-1.350852,-1.5566057257373084e+16
-1.349012,-1.556605725736936e+16
-1.347172,-1.5566057257373084e+16
-1.345332,-1.556605725737681e+16
