time_ms,Bt
-1.49964432,0.0
-1.49864432,-1.302691406252189e-09
-1.49764432,-3.98077343750395e-09
-1.49664432,7.095050781245546e-09
-1.49564432,3.6050953124991124e-08
-1.49464432,5.4003730468737615e-08
-1.49364432,4.85748671874849e-08
-1.49264432,4.3146003906233376e-08
-1.49164432,6.109878124997988e-08
-1.49064432,8.730390234373137e-08
-1.48964432,9.287816406247893e-08
-1.48864432,9.020008203122656e-08
-1.48764432,8.752199999997482e-08
-1.48664432,7.659157421872372e-08
-1.48564432,5.8784195312469394e-08
-1.48464432,2.4472128906220298e-08
-1.48364432,-1.946767187503756e-08
-1.48264432,-5.7905910156286354e-08
-1.48164432,-7.983946093753653e-08
-1.48064432,-8.80191054687896e-08
-1.47964432,-9.894953125004067e-08
-1.47864432,-1.3051081640629681e-07
-1.47764432,-1.854537421875442e-07
-1.47664432,-2.403966679687916e-07
-1.47564432,-2.7195795312504773e-07
-1.47464432,-2.828883789062988e-07
-1.47364432,-2.883172421875503e-07
-1.47264432,-2.978722773438036e-07
-1.47164432,-3.101780937500545e-07
-1.47064432,-3.183577382813076e-07
-1.46964432,-3.320389453125584e-07
-1.46864432,-3.553478867188085e-07
-1.46764432,-3.690290937500623e-07
-1.46664432,-3.593286601563151e-07
-1.46564432,-3.3724971093756413e-07
-1.46464432,-3.220477148438175e-07
-1.46364432,-3.137226718750702e-07
-1.46264432,-2.985206757813202e-07
-1.46164432,-2.626878203125752e-07
-1.46064432,-2.075994960938317e-07
-1.45964432,-1.6901585937507852e-07
-1.45864432,-1.5656464453133157e-07
-1.45764432,-1.5099038281258289e-07
-1.45664432,-1.4679151171883526e-07
-1.45564432,-1.5222037500008677e-07
-1.45464432,-1.576492382813395e-07
-1.45364432,-1.534503671875919e-07
-1.45264432,-1.478761054688432e-07
-1.45164432,-1.299233281250967e-07
-1.45064432,-8.858891015635215e-08
-1.44964432,-3.900214843759749e-08
-1.44864432,3.7076601561469405e-09
-1.44764432,4.229129687490005e-08
-1.44664432,8.08749335936448e-08
-1.44564432,1.0020310156239117e-07
-1.44464432,1.0165119140613933e-07
-1.44364432,9.209615624988817e-08
-1.44264432,7.016260546863808e-08
-1.44164432,4.547827343738284e-08
-1.44064432,3.454784765613177e-08
-1.43964432,2.774359374987885e-08
-1.43864432,9.936214843628374e-09
-1.4376443200000002,-1.1997335937621724e-08
-1.43664432,-3.3930886718876576e-08
-1.43564432,-6.274139062512615e-08
-1.43464432,-9.43026757813823e-08
-1.43364432,-1.121100546876328e-07
-1.43264432,-1.1753891796888434e-07
-1.43164432,-1.3947246875013926e-07
-1.43064432,-1.696583632813887e-07
-1.42964432,-1.902165234376434e-07
-1.42864432,-2.1077468359389365e-07
