time_ms,vertical_displacement
3.8125,116.6294487925356
3.825005477651183,116.6294487925356
3.8375109553023665,116.6294487925356
3.8500164329535496,116.6294487925356
3.8625219106047326,116.6294487925356
3.8750273882559156,116.6294487925356
3.887532865907099,116.6294487925356
3.900038343558282,116.6294487925356
3.912543821209465,116.6294487925356
3.9250492988606487,116.6294487925356
3.9375547765118317,116.6294487925356
3.9500602541630148,116.6294487925356
3.9625657318141982,116.6294487925356
3.9750712094653813,116.6294487925356
3.9875766871165643,116.6294487925356
4.000082164767748,116.6294487925356
4.01258764241893,116.6294487925356
4.025093120070114,116.6294487925356
4.037598597721297,116.6294487925356
4.05010407537248,116.6294487925356
4.0626095530236634,116.6294487925356
4.075115030674847,116.6294487925356
4.0876205083260295,116.6294487925356
4.100125985977213,116.6294487925356
4.1126314636283965,116.6294487925356
4.125136941279579,116.6294487925356
4.137642418930763,116.6294487925356
4.150147896581946,116.6294487925356
4.162653374233129,116.6294487925356
4.175158851884312,116.6294487925356
4.187664329535496,117.02592182357851
4.200169807186678,79.46687579951738
4.212675284837862,79.46687579951738
4.225180762489044,38.28290990310465
4.237686240140228,37.847306266219235
4.250191717791411,31.33761089297661
4.262697195442594,29.1803345971549
4.275202673093777,28.83018442016666
4.287708150744961,28.803585867868964
4.300213628396143,29.73595978873761
4.312719106047327,29.12470891017425
4.32522458369851,28.683643513256442
4.337730061349693,29.408031547018254
4.3502355390008765,29.118964634501605
4.36274101665206,30.37048228237127
4.3752464943032425,28.616910091579737
4.387751971954426,28.078943867746872
4.4002574496056095,25.09992662120265
4.412762927256792,24.785766990845325
4.425268404907976,24.916104869320254
4.437773882559158,24.93011363539893
4.450279360210342,24.872065284114903
4.462784837861525,24.582031366265795
4.475290315512709,26.356160946883744
4.487795793163891,22.76768028840679
4.500301270815075,24.694914617317828
4.512806748466257,25.006489710456243
4.525312226117441,25.51280767283018
4.537817703768624,23.12405604848702
4.550323181419807,23.079630228302644
4.56282865907099,24.155532781054593
4.575334136722174,23.53767086143019
4.587839614373356,23.36633311376732
4.60034509202454,23.09759842962686
4.612850569675723,21.980351648053954
4.625356047326906,21.840975153925985
4.6378615249780895,22.664429472237867
4.650367002629273,22.623591014881306
4.6628724802804555,21.68404101792801
4.675377957931639,21.81006319670852
4.6878834355828225,21.32501489196051
4.700388913234005,21.377961368675773
4.712894390885189,21.883489785215776
4.725399868536371,20.83955951820386
4.737905346187555,20.53911557875076
4.750410823838738,20.318653967684625
4.762916301489921,20.52612960080701
4.775421779141104,20.37207154249902
4.787927256792288,20.695670661743957
4.80043273444347,20.64930439290529
4.812938212094654,21.224986497413223
4.825443689745837,21.135466168896187
4.83794916739702,18.807359875731656
4.850454645048203,17.650632183335055
4.862960122699387,18.64868701758872
4.875465600350569,19.146107585432077
4.887971078001753,20.245021643367277
4.900476555652936,17.93638364544046
4.912982033304119,17.60881342673166
4.9254875109553025,18.217007232982528
4.937992988606485,19.79016643481956
4.9504984662576685,20.150358917020373
4.963003943908852,19.607691476679598
4.9755094215600355,17.706964589290305
4.988014899211218,19.597559138714082
5.000520376862402,19.997788341663895
5.013025854513584,19.10198089158368
5.025531332164768,15.892953621592387
5.038036809815951,18.404671294891436
5.050542287467135,20.19283651987251
5.063047765118317,20.087062803111497
5.075553242769501,18.559269748731364
5.088058720420683,18.084741106590183
5.100564198071867,19.34148985570246
5.11306967572305,19.767480559829455
5.125575153374233,19.754407500691403
5.138080631025416,18.853181874630668
5.150586108676599,19.158290723681787
5.163091586327782,19.493770444199754
5.175597063978966,19.23388132859695
5.188102541630149,18.81523481850948
5.200608019281332,19.28706890805396
5.2131134969325155,19.16155287295483
5.225618974583698,19.939137996838962
5.2381244522348815,21.124959261833386
5.250629929886065,19.44269669781684
5.2631354075372485,18.195076268146384
5.275640885188431,17.658123257455415
5.288146362839615,19.15912688599809
5.300651840490797,18.896203994066727
5.313157318141981,20.559570840692846
5.325662795793164,21.642496533190638
5.338168273444347,22.392504820462594
5.35067375109553,20.777225085875358
5.363179228746714,21.098967649239594
5.375684706397896,20.17700183219059
5.38819018404908,19.62856202594529
