time_ms,ne
-1.446268,134190148934240.28
-1.4444280000000003,134190148941689.34
-1.4425880000000002,134190148941689.34
-1.4407400000000004,268380297712050.62
-1.4389000000000003,402570446482411.94
-1.4370600000000002,402570446486136.4
-1.43522,402570446489860.9
-1.4333720000000003,536760595260222.3
-1.4315320000000002,536760595263946.9
-1.429692,536760595267671.4
-1.427852,670950744038032.8
-1.4260040000000003,670950744038032.8
-1.4241640000000002,670950744041757.2
-1.4223240000000004,670950744045481.9
-1.4204760000000003,670950744049206.1
-1.4186360000000002,670950744052930.5
-1.416796,670950744056655.2
-1.414948,805140892823292.0
-1.4131080000000003,805140892830741.1
-1.4112680000000004,805140892830741.1
-1.4094200000000003,805140892830741.1
-1.4075800000000003,939331041601102.4
-1.4057400000000002,939331041604827.0
-1.4039000000000004,939331041608551.6
-1.4020520000000003,1073521190378912.8
-1.4002120000000002,1073521190378912.8
-1.398372,1073521190382637.2
-1.3965320000000003,1073521190386362.0
-1.3946840000000003,1207711339152998.8
-1.3928440000000004,1207711339152998.8
-1.391004,1207711339156723.0
-1.3891640000000003,1207711339160447.5
-1.3873240000000002,1207711339164172.2
-1.385476,1207711339167896.8
-1.3836360000000003,1207711339171621.2
-1.3817960000000002,1207711339171621.2
-1.379948,1207711339175345.5
-1.3781080000000003,1207711339175345.5
-1.3762680000000003,1207711339179070.5
-1.37442,1207711339182795.0
-1.3725800000000004,1207711339186519.5
-1.37074,1207711339186519.5
-1.3688920000000002,1341901487956880.8
-1.367052,1341901487960605.5
-1.3652120000000003,1341901487964330.0
-1.3633720000000003,1476091636734691.2
-1.3615240000000004,1476091636734691.0
-1.359684,1476091636734691.0
-1.3578440000000003,1476091636742140.2
-1.3560040000000002,1476091636745864.8
-1.3541560000000004,1476091636749589.2
-1.352316,1610281785519950.5
-1.3504760000000002,1610281785519950.5
-1.3486360000000004,1610281785519950.5
-1.3467880000000003,1744471934286587.2
-1.3449480000000003,1744471934282862.8
-1.343108,1878662083049499.2
-1.34126,1878662083053224.0
-1.3394200000000003,1878662083053224.0
-1.3375800000000002,1878662083056948.5
-1.335732,1878662083056948.8
-1.3338920000000003,1878662083060672.8
-1.3320520000000002,1878662083056948.8
-1.330204,2012852231827309.5
-1.3283640000000003,2012852231819860.5
-1.3265240000000003,2012852231819860.5
-1.324684,2147042380586496.8
-1.3228360000000003,2147042380590221.5
-1.320996,2147042380590221.5
-1.3191560000000002,2281232529360583.0
-1.3173160000000004,2281232529356859.0
-1.3154680000000003,2415422678127220.0
-1.3136280000000002,2415422678123496.0
-1.311788,2415422678119771.5
-1.30994,2415422678112322.0
-1.3081000000000003,2415422678116046.5
-1.30626,2415422678112322.0
-1.30442,2415422678119771.0
-1.302572,2281232529353134.5
-1.3007320000000002,2281232529353134.5
-1.2988920000000004,2415422678116047.0
-1.2970440000000003,2415422678116047.0
-1.2952040000000002,2281232529345685.0
-1.293364,2147042380579048.5
-1.291524,2147042380582772.8
-1.2896760000000003,2147042380582772.8
-1.2878360000000002,2147042380586497.5
-1.285996,2281232529353134.5
-1.2841480000000003,2415422678119771.0
-1.2823080000000002,2415422678116046.5
-1.280468,2549612826886407.5
-1.2786280000000003,2683802975645595.5
-1.2767800000000002,2683802975653044.5
-1.27494,2683802975653044.5
-1.2731,2817993124423406.0
-1.271252,2817993124415957.0
-1.2694120000000002,2817993124419681.0
-1.2675720000000004,2817993124412232.0
-1.2657240000000003,2817993124419681.0
-1.2638840000000002,2817993124415957.0
-1.262044,2683802975645595.0
-1.2602040000000003,2683802975638146.5
-1.2583560000000003,2683802975645595.0
-1.256516,2549612826875234.0
-1.254676,2549612826875234.0
-1.2528360000000003,2683802975641870.5
-1.2509880000000002,2683802975641871.0
-1.2491480000000004,2683802975641871.0
-1.2473080000000003,2817993124408507.5
-1.2454600000000002,2952183273175144.5
-1.24362,2952183273175144.5
-1.24178,2952183273175144.5
-1.2399400000000003,3086373421938057.0
-1.238092,3220563570704693.0
-1.2362520000000004,3220563570704693.0
-1.2344120000000003,3220563570700969.0
-1.2325640000000002,3220563570697244.5
-1.230724,3086373421930608.0
-1.2288840000000003,3086373421926883.5
