time_ms,Bt
-1.49960208,0.0
-1.49860208,2.7486199218753693e-08
-1.49760208,3.984310156250271e-08
-1.4966020800000002,3.707070703125301e-08
-1.49560208,1.3667453124999932e-08
-1.4946020800000002,-2.073892578124716e-08
-1.4936020800000005,-6.477303906249343e-08
-1.4926020800000002,-9.780402734374777e-08
-1.4916020800000005,-1.3358579687499469e-07
-1.4906020800000002,-1.6386600390624865e-07
-1.48960208,-1.886446484374965e-07
-1.4886020800000002,-2.1067251171874467e-07
-1.48760208,-2.423281093749988e-07
-1.4866020800000002,-2.904883945312446e-07
-1.48560208,-3.345225078125005e-07
-1.4846020800000002,-3.703042773437474e-07
-1.4836020800000005,-3.7995362499999654e-07
-1.4826020800000002,-3.868521914062474e-07
-1.4816020800000005,-3.9375075781249685e-07
-1.48060208,-3.8414463671874555e-07
-1.47960208,-3.484060937499985e-07
-1.4786020800000002,-3.167937226562511e-07
-1.47760208,-3.044368203124994e-07
-1.4766020800000002,-3.017076523437496e-07
-1.4756020800000005,-2.9347692187500013e-07
-1.47460208,-2.85246191406249e-07
-1.4736020800000005,-2.866431953124988e-07
-1.47260208,-2.9766793359375025e-07
-1.47160208,-3.210711874999983e-07
-1.47060208,-3.417236601562465e-07
-1.46960208,-3.706284765625003e-07
-1.46860208,-4.256657148437457e-07
-1.46760208,-5.027092031250059e-07
-1.46660208,-5.770019101562496e-07
-1.4656020800000005,-6.622977421874925e-07
-1.46460208,-7.434674023437532e-07
-1.4636020800000002,-8.232616718749965e-07
-1.46260208,-8.796743007812539e-07
-1.46160208,-9.278345859374998e-07
-1.46060208,-9.759948710937456e-07
-1.45960208,-1.015902812500001e-06
-1.45860208,-1.0461830195312484e-06
-1.4576020800000002,-1.050330804687498e-06
-1.45660208,-1.050352417968748e-06
-1.4556020800000002,-1.0503740312499978e-06
-1.45460208,-1.058647988281249e-06
-1.4536020800000002,-1.0737988984374976e-06
-1.45260208,-1.094451371093746e-06
-1.45160208,-1.1054761093749977e-06
-1.45060208,-1.1068731132812473e-06
-1.44960208,-1.0945162109374956e-06
-1.44860208,-1.0752823554687471e-06
-1.4476020800000002,-1.0587992812499984e-06
-1.44660208,-1.049193160156247e-06
-1.4456020800000002,-1.036836257812498e-06
-1.4446020800000003,-1.0286055273437489e-06
-1.44360208,-1.024500968749998e-06
-1.44260208,-1.0369010976562469e-06
-1.44160208,-1.0644305234375006e-06
-1.44060208,-1.0809568242187492e-06
-1.4396020800000002,-1.0892307812499984e-06
-1.43860208,-1.087877003906248e-06
-1.4376020800000002,-1.0947755703124975e-06
-1.43660208,-1.0879202304687469e-06
-1.4356020800000002,-1.0851910624999968e-06
-1.43460208,-1.0852126757812468e-06
-1.43360208,-1.0756065546874951e-06
-1.43260208,-1.070126605468746e-06
-1.43160208,-1.0673974374999954e-06
-1.43060208,-1.0605420976562455e-06
-1.4296020800000002,-1.0413082421874974e-06
-1.42860208,-1.016572824218744e-06
-1.4276020800000002,-9.877112343749965e-07
-1.4266020800000003,-9.712281601562475e-07
-1.42560208,-9.58871257812496e-07
-1.42460208,-9.410127929687472e-07
-1.42360208,-9.190281562499944e-07
-1.42260208,-9.066712539062454e-07
-1.4216020800000002,-8.970651328124961e-07
-1.42060208,-9.135914335937484e-07
-1.4196020800000002,-9.342439062499964e-07
-1.41860208,-9.356409101562466e-07
-1.4176020800000002,-9.16407054687498e-07
-1.4166020800000003,-8.834192929687508e-07
-1.41560208,-8.504315312499964e-07
-1.41460208,-8.243207226562486e-07
-1.41360208,-8.023360859374956e-07
-1.41260208,-7.707237148437482e-07
-1.4116020800000002,-7.514898593749998e-07
-1.41060208,-7.418837382812484e-07
-1.4096020800000002,-7.501576953124977e-07
-1.4086020800000003,-7.611824335937467e-07
-1.4076020800000002,-7.79084124999999e-07
-1.40660208,-8.079889414062466e-07
-1.40560208,-8.589000078125034e-07
-1.40460208,-9.263157617187476e-07
-1.4036020800000002,-9.868545624999925e-07
-1.40260208,-1.0460179726562504e-06
-1.4016020800000002,-1.1065567734374952e-06
-1.40060208,-1.1670955742187533e-06
-1.3996020800000002,-1.2235082031249984e-06
-1.3986020800000003,-1.277170050781244e-06
-1.39760208,-1.3074502578124978e-06
-1.39660208,-1.3446074179687443e-06
-1.39560208,-1.3790137968749991e-06
-1.39460208,-1.4079186132812469e-06
-1.3936020800000002,-1.4299464765624948e-06
-1.39260208,-1.4602266835937488e-06
-1.3916020800000002,-1.490506890624996e-06
-1.3906020800000003,-1.5180363164062435e-06
-1.3896020800000002,-1.5483165234374976e-06
-1.38860208,-1.5827229023437448e-06
-1.38760208,-1.6185046718749994e-06
-1.38660208,-1.647409488281247e-06
-1.3856020800000002,-1.692818992187493e-06
-1.38460208,-1.7341023242187484e-06
-1.3836020800000002,-1.7643825312499957e-06
-1.38260208,-1.7781580507812471e-06
-1.3816020800000002,-1.7891827890624963e-06
-1.3806020800000005,-1.8002075273437453e-06
-1.3796020800000002,-1.820859999999998e-06
-1.37860208,-1.844263253906246e-06
-1.3776020800000002,-1.870417289062494e-06
-1.37660208,-1.8965713242187477e-06
-1.3756020800000002,-1.9268515312499948e-06
-1.37460208,-1.9543809570312485e-06
-1.3736020800000002,-1.970907257812497e-06
-1.3726020800000005,-1.9860581679687456e-06
-1.3716020800000002,-2.0149629843749994e-06
-1.3706020800000005,-2.056246316406246e-06
-1.36960208,-2.1044066015625026e-06
-1.36860208,-2.1690715742187472e-06
-1.3676020800000002,-2.2172318593749927e-06
-1.36660208,-2.258515191406248e-06
-1.3656020800000002,-2.287420007812496e-06
-1.36460208,-2.328703339843751e-06
-1.3636020800000002,-2.3796144062499967e-06
-1.3626020800000005,-2.4332762539062425e-06
-1.3616020800000002,-2.4800611484374987e-06
-1.36060208,-2.5117167460937462e-06
-1.3596020800000002,-2.555750859374992e-06
-1.35860208,-2.612163488281249e-06
-1.3576020800000002,-2.675453070312494e-06
-1.35660208,-2.738742652343752e-06
-1.3556020800000002,-2.8047830156249965e-06
-1.3546020800000005,-2.861195644531242e-06
-1.3536020800000002,-2.901103585937497e-06
-1.3526020800000005,-2.934134574218744e-06
-1.3516020800000002,-2.971291734374999e-06
-1.35060208,-3.012575066406245e-06
-1.34960208,-3.060735351562491e-06
-1.34860208,-3.091015558593745e-06
-1.34760208,-3.128172718749992e-06
-1.34660208,-3.1598283164062463e-06
-1.34560208,-3.1846069609374946e-06
-1.3446020800000005,-3.2190133398437416e-06
-1.34360208,-3.265798234374998e-06
-1.3426020800000005,-3.3318385976562423e-06
-1.34160208,-3.3923773984374877e-06
-1.34060208,-3.452916199218745e-06
-1.33960208,-3.5024518749999915e-06
-1.33860208,-3.5492367695312478e-06
-1.33760208,-3.5891447109374942e-06
-1.3366020800000002,-3.626301871093741e-06
-1.33560208,-3.6744621562499976e-06
-1.3346020800000002,-3.721247050781244e-06
-1.33360208,-3.757028820312498e-06
-1.33260208,-3.7708043398437466e-06
-1.33160208,-3.7625736093749976e-06
-1.33060208,-3.747465925781245e-06
-1.32960208,-3.7447367578124953e-06
-1.3286020800000002,-3.748884542968745e-06
-1.32760208,-3.757158499999996e-06
-1.3266020800000002,-3.7626816757812457e-06
-1.32560208,-3.761327898437496e-06
-1.3246020800000002,-3.7462202148437465e-06
-1.32360208,-3.751743390624996e-06
-1.32260208,-3.762768128906248e-06
-1.32160208,-3.7724174765624967e-06
-1.32060208,-3.7793160429687473e-06
-1.31960208,-3.783463828124997e-06
-1.3186020800000002,-3.7903623945312463e-06
-1.31760208,-3.794510179687497e-06
-1.3166020800000002,-3.8000333554687455e-06
-1.31560208,-3.784925671874994e-06
-1.31460208,-3.761565644531246e-06
-1.31360208,-3.7409563984374975e-06
-1.31260208,-3.7341010585937466e-06
-1.31160208,-3.7121164218749983e-06
-1.3106020800000002,-3.680504050781251e-06
-1.30960208,-3.661270195312499e-06
-1.3086020800000002,-3.6530394648437486e-06
-1.30760208,-3.642057953124998e-06
-1.3066020800000002,-3.6241994882812495e-06
-1.3056020800000003,-3.609091804687501e-06
-1.30460208,-3.6036118554687497e-06
-1.30360208,-3.5953811250000004e-06
-1.30260208,-3.580273441406248e-06
-1.30160208,-3.5775442734374985e-06
-1.3006020800000002,-3.5775658867187485e-06
-1.29960208,-3.603719921875002e-06
-1.2986020800000002,-3.639501691406249e-06
-1.29760208,-3.676658851562504e-06
-1.2966020800000002,-3.7110652304687504e-06
-1.29560208,-3.761976296874996e-06
-1.29460208,-3.819764316406254e-06
-1.29360208,-3.881678507812498e-06
-1.2926020800000002,-3.927088011718745e-06
-1.29160208,-3.9408635312499965e-06
-1.2906020800000002,-3.940885144531247e-06
-1.28960208,-3.942282148437497e-06
-1.2886020800000002,-3.964310011718745e-06
-1.2876020800000003,-3.982211703124994e-06
-1.28660208,-3.997362613281245e-06
-1.28560208,-4.005636570312495e-06
-1.28460208,-4.013910527343746e-06
-1.28360208,-4.0221844843749945e-06
-1.2826020800000002,-4.040086175781243e-06
-1.28160208,-4.060738648437496e-06
-1.2806020800000002,-4.093769636718743e-06
-1.2796020800000003,-4.12817601562499e-06
-1.2786020800000002,-4.159831613281244e-06
-1.27760208,-4.198364164062491e-06
-1.27660208,-4.234145933593746e-06
-1.27560208,-4.268552312499993e-06
-1.2746020800000002,-4.30570947265624e-06
-1.27360208,-4.344242023437495e-06
-1.2726020800000002,-4.377273011718742e-06
-1.27160208,-4.396550093749995e-06
-1.2706020800000002,-4.374565457031247e-06
-1.2696020800000003,-4.341577695312499e-06
-1.2686020800000002,-4.298962199218743e-06
-1.26760208,-4.270100609374996e-06
-1.26660208,-4.2632452695312446e-06
-1.26560208,-4.260516101562496e-06
-1.2646020800000002,-4.259162324218745e-06
-1.26360208,-4.2674362812499965e-06
-1.2626020800000002,-4.288088753906244e-06
-1.2616020800000003,-4.305990445312492e-06
-1.2606020800000002,-4.337646042968747e-06
-1.2596020800000003,-4.377553984374993e-06
-1.25860208,-4.424338878906249e-06
-1.25760208,-4.465622210937495e-06
-1.2566020800000002,-4.497277808593743e-06
-1.25560208,-4.524807234374997e-06
-1.2546020800000002,-4.561964394531244e-06
-1.25360208,-4.605998507812499e-06
-1.2526020800000002,-4.655534183593744e-06
-1.2516020800000005,-4.683063609374993e-06
-1.2506020800000002,-4.717469988281247e-06
-1.24960208,-4.747750195312495e-06
-1.24860208,-4.775279621093749e-06
-1.24760208,-4.805559828124996e-06
-1.2466020800000002,-4.819335347656245e-06
-1.24560208,-4.833110867187497e-06
-1.2446020800000002,-4.844135605468746e-06
-1.2436020800000005,-4.8716650312499935e-06
-1.2426020800000002,-4.892317503906246e-06
-1.2416020800000005,-4.912969976562494e-06
-1.24060208,-4.917117761718745e-06
-1.23960208,-4.899259296874996e-06
-1.2386020800000002,-4.880025441406248e-06
-1.23760208,-4.875920882812497e-06
-1.2366020800000002,-4.880068667968747e-06
-1.23560208,-4.885591843749998e-06
-1.2346020800000002,-4.889739628906248e-06
-1.2336020800000005,-4.892512023437498e-06
-1.2326020800000002,-4.9035367617187485e-06
-1.2316020800000005,-4.925564624999997e-06
-1.23060208,-4.955844832031251e-06
-1.22960208,-4.986125039062499e-06
-1.2286020800000002,-5.0232821992187456e-06
-1.22760208,-5.027429984374997e-06
-1.2266020800000002,-5.032953160156246e-06
-1.2256020800000005,-5.048104070312494e-06
-1.22460208,-5.078384277343749e-06
-1.2236020800000005,-5.108664484374996e-06
-1.22260208,-5.132067738281249e-06
-1.22160208,-5.155470992187497e-06
-1.22060208,-5.183000417968745e-06
-1.21960208,-5.217406796875e-06
-1.21860208,-5.238059269531248e-06
-1.21760208,-5.2545855703125e-06
-1.21660208,-5.2559825742187495e-06
-1.2156020800000005,-5.273884265624998e-06
-1.21460208,-5.301413691406251e-06
-1.2136020800000002,-5.326192335937499e-06
-1.21260208,-5.337217074218748e-06
-1.21160208,-5.341364859374999e-06
-1.21060208,-5.3345095195312496e-06
-1.20960208,-5.3304049609375e-06
-1.20860208,-5.337303527343749e-06
-1.2076020800000002,-5.344202093749998e-06
-1.20660208,-5.346974488281249e-06
-1.2056020800000002,-5.3346175859375e-06
-1.20460208,-5.33326380859375e-06
-1.20360208,-5.337411593749999e-06
-1.20260208,-5.355313285156248e-06
-1.20160208,-5.3745903671875006e-06
-1.20060208,-5.38974127734375e-06
-1.19960208,-5.39113828125e-06
-1.19860208,-5.4062891914062485e-06
-1.1976020800000002,-5.424190882812497e-06
-1.19660208,-5.4448433554687495e-06
-1.1956020800000002,-5.472372781249997e-06
-1.1946020800000003,-5.486148300781247e-06
-1.19360208,-5.490296085937497e-06
-1.19260208,-5.488942308593747e-06
-1.19160208,-5.504093218749999e-06
-1.19060208,-5.524745691406247e-06
-1.1896020800000002,-5.560527460937493e-06
-1.18860208,-5.596309230468748e-06
-1.1876020800000002,-5.630715609374995e-06
-1.18660208,-5.659620425781249e-06
-1.1856020800000002,-5.670645164062499e-06
-1.18460208,-5.661039042968749e-06
-1.18360208,-5.652808312499998e-06
