time_ms,ne
-1.446364,-3757324165506800.0
-1.444524,-3757324165503075.0
-1.4426839999999999,-3757324165503075.0
-1.440844,-3757324165506800.0
-1.439004,-3891514314273437.0
-1.4371639999999999,-4025704463040073.5
-1.435316,-4159894611802985.5
-1.433476,-4159894611806711.0
-1.431636,-4159894611806711.0
-1.4297959999999998,-4159894611806711.0
-1.427956,-4159894611810435.0
-1.426116,-4294084760580797.0
-1.424268,-4428274909347433.5
-1.422428,-4562465058110346.0
-1.420588,-4696655206880706.0
-1.418748,-4696655206880706.0
-1.416908,-4696655206884430.0
-1.415068,-4696655206884430.0
-1.413228,-4696655206884430.0
-1.411388,-4696655206888155.0
-1.4095479999999998,-4830845355654792.0
-1.407708,-4965035504421429.0
-1.405868,-5099225653191791.0
-1.40402,-5099225653195515.0
-1.4021800000000002,-5099225653191791.0
-1.40034,-5099225653195515.0
-1.3985,-5233415801962152.0
-1.39666,-5367605950728789.0
-1.39482,-5501796099495426.0
-1.39298,-5501796099495426.0
-1.391132,-5501796099499149.0
-1.389292,-5501796099499149.0
-1.387452,-5501796099499149.0
-1.385612,-5635986248265786.0
-1.383772,-5770176397036148.0
-1.381932,-5904366545806510.0
-1.380084,-6038556694573147.0
-1.378244,-6172746843343508.0
-1.376404,-6172746843347233.0
-1.374564,-6172746843347233.0
-1.3727239999999998,-6172746843350958.0
-1.370884,-6172746843354682.0
-1.369044,-6306936992125044.0
-1.3672039999999999,-6441127140891681.0
-1.365364,-6575317289654593.0
-1.363516,-6575317289658318.0
-1.361676,-6575317289658316.0
-1.359836,-6575317289658316.0
-1.357996,-6709507438428678.0
-1.356156,-6843697587195315.0
-1.354316,-6977887735961952.0
-1.352476,-6843697587195315.0
-1.350636,-6709507438424953.0
-1.3487879999999999,-6575317289658315.0
-1.346948,-6441127140895403.0
-1.345108,-6306936992125042.0
-1.343268,-6306936992121318.0
-1.341428,-6172746843354680.0
-1.339588,-6038556694584320.0
-1.337748,-6038556694584320.0
-1.3358999999999999,-5904366545817683.0
-1.33406,-5904366545821408.0
-1.33222,-5904366545821407.0
-1.33038,-5770176397054770.0
-1.32854,-5770176397051046.0
-1.3267,-5770176397051046.0
-1.32486,-5635986248284410.0
-1.32302,-5635986248284410.0
-1.32118,-5635986248284410.0
-1.319332,-5635986248280685.0
-1.317492,-5635986248280684.0
-1.3156519999999998,-5770176397043597.0
-1.313812,-5904366545806510.0
-1.311972,-6038556694580596.0
-1.3101319999999999,-6038556694580596.0
-1.308284,-5904366545813959.0
-1.306444,-5770176397047322.0
-1.304604,-5770176397047322.0
-1.302764,-5770176397047321.0
-1.300924,-5770176397047321.0
-1.299084,-5770176397047322.0
