    0,-0.000
2e-06,0.000
4e-06,-0.001
6e-06,-0.000
8e-06,-0.000
1e-05,0.000
1.2e-05,-0.000
1.4e-05,0.010
1.6e-05,0.126
1.8e-05,0.435
2e-05,-0.106
2.2e-05,-0.125
2.4e-05,0.023
2.6e-05,0.032
2.8e-05,0.007
3e-05,-0.002
3.2e-05,0.003
3.4e-05,0.009
3.6e-05,0.009
3.8e-05,0.006
4e-05,0.006
4.2e-05,0.007
4.4e-05,0.006
4.6e-05,0.007
4.8e-05,0.008
5e-05,0.007
5.2e-05,0.007
5.4e-05,0.008
5.6e-05,0.008
5.8e-05,0.007
6e-05,0.008
6.2e-05,0.008
6.4e-05,0.008
6.6e-05,0.007
6.8e-05,0.008
7e-05,0.008
7.2e-05,0.007
7.4e-05,0.008
7.6e-05,0.008
7.8e-05,0.008
8e-05,0.008
8.2e-05,0.008
8.4e-05,0.008
8.6e-05,0.008
8.8e-05,0.008
9e-05,0.008
9.2e-05,0.007
9.4e-05,0.008
9.6e-05,0.008
9.8e-05,0.007
0.0001,0.007
0.000102,0.007
0.000104,0.008
0.000106,0.007
0.000108,0.007
0.00011,0.008
0.000112,0.007
0.000114,0.008
0.000116,0.007
0.000118,0.007
0.00012,0.007
0.000122,0.007
0.000124,0.007
0.000126,0.007
0.000128,0.007
0.00013,0.007
0.000132,0.007
0.000134,0.007
0.000136,0.007
0.000138,0.006
0.00014,0.007
0.000142,0.006
0.000144,0.007
0.000146,0.006
0.000148,0.007
0.00015,0.006
0.000152,0.006
0.000154,0.006
0.000156,0.006
0.000158,0.006
0.00016,0.006
0.000162,0.006
0.000164,0.007
0.000166,0.006
0.000168,0.006
0.00017,0.006
0.000172,0.006
0.000174,0.006
0.000176,0.006
0.000178,0.006
0.00018,0.006
0.000182,0.006
0.000184,0.006
0.000186,0.006
0.000188,0.006
0.00019,0.006
0.000192,0.006
0.000194,0.006
0.000196,0.007
0.000198,0.006
0.0002,0.006
0.000202,0.006
0.000204,0.006
0.000206,0.005
0.000208,0.006
0.00021,0.006
0.000212,0.006
0.000214,0.006
0.000216,0.006
0.000218,0.006
0.00022,0.006
0.000222,0.006
0.000224,0.006
0.000226,0.006
0.000228,0.006
0.00023,0.006
0.000232,0.006
0.000234,0.006
0.000236,0.006
0.000238,0.006
0.00024,0.005
0.000242,0.006
0.000244,0.006
0.000246,0.006
0.000248,0.005
0.00025,0.006
0.000252,0.006
0.000254,0.006
0.000256,0.006
0.000258,0.005
0.00026,0.006
0.000262,0.006
0.000264,0.006
0.000266,0.005
0.000268,0.005
0.00027,0.006
0.000272,0.006
0.000274,0.006
0.000276,0.005
0.000278,0.006
0.00028,0.006
0.000282,0.006
0.000284,0.005
0.000286,0.006
0.000288,0.005
0.00029,0.005
0.000292,0.005
0.000294,0.005
0.000296,0.005
0.000298,0.006
0.0003,0.006
0.000302,0.005
0.000304,0.005
0.000306,0.005
0.000308,0.005
0.00031,0.005
0.000312,0.005
0.000314,0.005
0.000316,0.005
0.000318,0.005
0.00032,0.005
0.000322,0.005
0.000324,0.005
0.000326,0.005
0.000328,0.005
0.00033,0.005
0.000332,0.006
0.000334,0.005
0.000336,0.005
0.000338,0.005
0.00034,0.006
0.000342,0.005
0.000344,0.005
0.000346,0.005
0.000348,0.005
0.00035,0.005
0.000352,0.005
0.000354,0.005
0.000356,0.005
0.000358,0.005
0.00036,0.005
0.000362,0.005
0.000364,0.005
0.000366,0.005
0.000368,0.005
0.00037,0.005
0.000372,0.005
0.000374,0.005
0.000376,0.005
0.000378,0.005
0.00038,0.005
0.000382,0.005
0.000384,0.005
0.000386,0.005
0.000388,0.006
0.00039,0.005
0.000392,0.005
0.000394,0.005
0.000396,0.005
0.000398,0.005
0.0004,0.005
0.000402,0.006
0.000404,0.005
0.000406,0.005
0.000408,0.005
0.00041,0.005
0.000412,0.005
0.000414,0.005
0.000416,0.005
0.000418,0.005
0.00042,0.005
0.000422,0.005
0.000424,0.005
0.000426,0.005
0.000428,0.005
0.00043,0.005
0.000432,0.005
0.000434,0.005
0.000436,0.005
0.000438,0.004
0.00044,0.005
0.000442,0.005
0.000444,0.004
0.000446,0.005
0.000448,0.005
0.00045,0.005
0.000452,0.005
0.000454,0.005
0.000456,0.005
0.000458,0.005
0.00046,0.005
0.000462,0.005
0.000464,0.005
0.000466,0.005
0.000468,0.005
0.00047,0.005
0.000472,0.005
0.000474,0.005
0.000476,0.005
0.000478,0.005
0.00048,0.005
0.000482,0.005
0.000484,0.005
0.000486,0.005
0.000488,0.005
0.00049,0.005
0.000492,0.005
0.000494,0.005
0.000496,0.005
0.000498,0.005
0.0005,0.005
0.000502,0.005
0.000504,0.005
0.000506,0.005
0.000508,0.005
0.00051,0.005
0.000512,0.005
0.000514,0.005
0.000516,0.005
0.000518,0.005
0.00052,0.005
0.000522,0.005
0.000524,0.005
0.000526,0.005
0.000528,0.005
0.00053,0.005
0.000532,0.005
0.000534,0.005
0.000536,0.005
0.000538,0.005
0.00054,0.005
0.000542,0.005
0.000544,0.005
0.000546,0.005
0.000548,0.005
0.00055,0.005
0.000552,0.005
0.000554,0.005
0.000556,0.005
0.000558,0.004
0.00056,0.005
0.000562,0.005
0.000564,0.005
0.000566,0.005
0.000568,0.005
0.00057,0.005
0.000572,0.004
0.000574,0.005
0.000576,0.005
0.000578,0.005
0.00058,0.005
0.000582,0.005
0.000584,0.005
0.000586,0.005
0.000588,0.005
0.00059,0.005
0.000592,0.005
0.000594,0.005
0.000596,0.005
0.000598,0.005
0.0006,0.005
0.000602,0.005
0.000604,0.005
0.000606,0.004
0.000608,0.005
0.00061,0.005
0.000612,0.005
0.000614,0.004
0.000616,0.004
0.000618,0.005
0.00062,0.005
0.000622,0.005
0.000624,0.005
0.000626,0.005
0.000628,0.005
0.00063,0.004
0.000632,0.005
0.000634,0.005
0.000636,0.005
0.000638,0.005
0.00064,0.004
0.000642,0.005
0.000644,0.005
0.000646,0.005
0.000648,0.005
0.00065,0.005
0.000652,0.005
0.000654,0.004
0.000656,0.005
0.000658,0.005
0.00066,0.005
0.000662,0.005
0.000664,0.005
0.000666,0.005
0.000668,0.005
0.00067,0.005
0.000672,0.005
0.000674,0.005
0.000676,0.005
0.000678,0.004
0.00068,0.004
0.000682,0.005
0.000684,0.005
0.000686,0.005
0.000688,0.005
0.00069,0.005
0.000692,0.005
0.000694,0.005
0.000696,0.005
0.000698,0.004
0.0007,0.005
0.000702,0.004
0.000704,0.005
0.000706,0.005
0.000708,0.005
0.00071,0.004
0.000712,0.005
0.000714,0.005
0.000716,0.005
0.000718,0.004
0.00072,0.004
0.000722,0.004
0.000724,0.005
0.000726,0.005
0.000728,0.005
0.00073,0.005
0.000732,0.005
0.000734,0.005
0.000736,0.004
0.000738,0.005
0.00074,0.005
0.000742,0.004
0.000744,0.005
0.000746,0.005
0.000748,0.004
0.00075,0.005
0.000752,0.005
0.000754,0.005
0.000756,0.004
0.000758,0.005
0.00076,0.005
0.000762,0.005
0.000764,0.005
0.000766,0.005
0.000768,0.005
0.00077,0.005
0.000772,0.004
0.000774,0.005
0.000776,0.004
0.000778,0.005
0.00078,0.005
0.000782,0.005
0.000784,0.005
0.000786,0.005
0.000788,0.005
0.00079,0.004
0.000792,0.004
0.000794,0.005
0.000796,0.004
0.000798,0.005
0.0008,0.005
0.000802,0.004
0.000804,0.005
0.000806,0.005
0.000808,0.005
0.00081,0.004
0.000812,0.004
0.000814,0.004
0.000816,0.004
0.000818,0.005
0.00082,0.004
0.000822,0.005
0.000824,0.005
0.000826,0.005
0.000828,0.005
0.00083,0.005
0.000832,0.004
0.000834,0.004
0.000836,0.005
0.000838,0.005
0.00084,0.005
0.000842,0.005
0.000844,0.004
0.000846,0.005
0.000848,0.005
0.00085,0.005
0.000852,0.005
0.000854,0.004
0.000856,0.005
0.000858,0.005
0.00086,0.005
0.000862,0.005
0.000864,0.004
0.000866,0.004
0.000868,0.005
0.00087,0.005
0.000872,0.004
0.000874,0.005
0.000876,0.005
0.000878,0.004
0.00088,0.005
0.000882,0.004
0.000884,0.005
0.000886,0.004
0.000888,0.005
0.00089,0.005
0.000892,0.005
0.000894,0.004
0.000896,0.004
