time_ms,ne
-5.846020000000001,-335475371471511.5
-5.84416,-335475371456613.4
-5.842300000000001,-335475371456613.4
-5.840440000000001,-670950743375067.5
-5.8386,-670950743360169.5
-5.836740000000001,-670950743345271.4
-5.83488,-670950743330373.2
-5.833020000000001,-670950743330373.2
-5.831160000000001,-670950743330373.2
-5.82932,-1006426115233929.2
-5.827460000000001,-1006426115233929.2
-5.8256000000000006,-1006426115219031.2
-5.823740000000001,-1006426115204133.2
-5.821900000000001,-1006426115204133.2
-5.8200400000000005,-1006426115189235.2
-5.818180000000001,-1006426115189235.2
-5.81632,-1006426115174337.2
-5.81446,-1006426115174337.2
-5.812620000000001,-1006426115174337.2
-5.81076,-1341901487077893.2
-5.8089,-1341901487077893.2
-5.807040000000001,-1341901487062995.0
-5.805180000000001,-1341901487062995.0
-5.80334,-1341901487062995.0
-5.801480000000001,-1341901487048097.0
-5.799620000000001,-1341901487048097.0
-5.79776,-1341901487033199.0
-5.7959000000000005,-1341901487018300.8
-5.794060000000001,-1341901487018300.8
-5.7922,-1677376858921857.0
-5.79034,-1677376858921857.0
-5.788480000000001,-1677376858906959.0
-5.786620000000001,-1677376858892061.0
-5.78476,-1677376858892061.0
-5.782920000000001,-1677376858877162.8
-5.781060000000001,-1677376858877162.8
-5.7792,-1677376858862264.8
-5.7773400000000015,-1677376858847366.5
-5.775500000000001,-1677376858847366.5
-5.77364,-2012852230750922.8
-5.771780000000001,-2348327602669377.0
-5.769920000000001,-2348327602654478.5
-5.768060000000001,-2348327602639580.0
-5.766220000000001,-2348327602624682.0
-5.764360000000001,-2683802974528238.0
-5.762500000000001,-2683802974528238.0
-5.76064,-2683802974513340.5
-5.758780000000001,-2683802974498442.0
-5.756940000000001,-2683802974498442.0
-5.75508,-2683802974483543.5
-5.753220000000001,-2683802974483543.5
-5.751360000000001,-2683802974498442.5
-5.7495,-2683802974483544.0
-5.747660000000001,-2683802974483544.0
-5.745800000000001,-2683802974483544.0
-5.743940000000001,-2683802974483544.0
-5.7420800000000005,-2683802974498442.5
-5.74022,-2683802974483544.5
-5.738360000000001,-2348327602579988.0
-5.7365200000000005,-2012852230661533.5
-5.734660000000001,-2012852230646635.2
-5.732800000000001,-2012852230661533.5
-5.73094,-2012852230646635.2
-5.729100000000001,-2012852230661533.5
-5.72724,-2683802974498443.0
-5.72538,-2683802974483544.0
-5.723520000000001,-2683802974498442.5
-5.72166,-2683802974483544.5
-5.719800000000001,-2683802974498442.5
-5.717960000000001,-3019278346416897.0
-5.716100000000001,-3019278346387101.0
-5.71424,-3019278346401999.0
-5.71238,-3019278346387101.0
-5.710540000000001,-3019278346401998.5
-5.70868,-3354753718305554.5
-5.7068200000000004,-3354753718290656.0
-5.704960000000001,-3354753718305554.5
-5.7031,-3354753718290656.0
-5.70124,-3354753718305554.5
-5.699400000000001,-3690229090209111.0
-5.697540000000001,-3690229090194212.0
-5.69568,-3690229090209111.0
-5.6938200000000005,-3690229090194212.0
-5.691980000000001,-3690229090209111.0
-5.69012,-3354753718305554.5
-5.688260000000001,-3354753718290656.0
-5.686400000000001,-3354753718305554.5
-5.68454,-3354753718290656.0
-5.68268,-3354753718320452.5
-5.680820000000001,-3019278346416896.5
-5.678980000000001,-3019278346401998.0
-5.67712,-3019278346416896.5
-5.675260000000001,-3019278346401998.0
-5.673400000000001,-3019278346416896.5
-5.67156,-3354753718335351.0
-5.669700000000001,-3354753718320453.0
-5.667840000000001,-3354753718335351.0
-5.66598,-3354753718320453.0
-5.664140000000001,-3690229090238907.0
-5.662280000000001,-4025704462157361.5
-5.66042,-4361179834060917.5
-5.65856,-4361179834075816.0
-5.656700000000001,-4361179834060917.5
-5.654840000000001,-4025704462142463.0
-5.653,-4361179834060917.5
-5.65114,-4361179834060917.5
-5.649280000000001,-4361179834075816.0
-5.64742,-4361179834060917.5
-5.645560000000001,-4361179834060917.0
-5.643720000000001,-4361179834060917.5
-5.64186,-4696655205964473.0
-5.640000000000001,-4696655205979372.0
-5.63814,-4696655205979372.0
